Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,Score_Judge_Tanh,Score_Fan_Tanh,Final_Score,Final_Rank,Original_Rank
3,5,Shanna Moakler,0.1492712707182321,0.6418839779005522,0.0,Safe,Improved,-0.8501170726198033,0.8210904205630037,-0.014513326028399776,8.0,5.0
3,5,Willa Ford,0.0,0.9674439979909591,27.0,Eliminated,Improved,0.6669997168257228,-0.9475404697856122,-0.14027037647994473,11.0,8.5
3,5,Sara Evans,0.0643900552486187,0.6418839779005523,24.0,Safe,Improved,0.5199121870407502,-0.4832070278084151,0.018352579616167514,5.5,10.5
3,5,Jerry Springer,0.0643900552486187,0.6418839779005525,24.0,Safe,Improved,0.5199121870407502,-0.4832070278084151,0.018352579616167514,5.5,10.5
3,5,Tucker Carlson,0.149271270718232,0.6418839779005532,0.0,Safe,Improved,-0.8501170726198033,0.8210904205630032,-0.014513326028400053,10.0,8.5
4,2,John Ratzenberger,0.0893506493506493,0.0168265306122447,21.0,Safe,Improved,-0.44119985522334615,-0.3537466981116446,-0.3974732766674954,8.0,8.0
4,2,Ian Ziering,0.0905751391465677,0.0168265306122447,22.0,Safe,Improved,-0.1011641180965038,-0.07906035162960649,-0.09011223486305514,5.0,5.0
4,2,Clyde Drexler,0.0936863636363636,0.016826530612245,18.0,Safe,Improved,-0.9202021655573718,0.5776120397058506,-0.17129506292576058,6.0,6.0
4,2,Laila Ali,0.0966975881261595,0.0168265306122447,27.0,Safe,Improved,0.9424505249516982,0.879429711546109,0.9109401182489036,1.0,1.0
4,2,Apolo Anton Ohno,0.0954730983302411,0.0168265306122448,26.0,Safe,Improved,0.882580301598714,0.794217104037919,0.8383987028183165,2.0,2.0
4,2,Shandi Finnessey,0.0881261595547309,0.0168265306122445,20.0,Safe,Improved,-0.6889361870301222,-0.5785058971304232,-0.6337210420802727,10.0,11.0
4,2,Paulina Porizkova,0.0813414656771799,0.903987012987013,21.0,Eliminated,Improved,-0.44119985522334615,-0.9788700190774733,-0.7100349371504098,11.0,10.0
4,2,Heather Mills,0.0930241187384044,0.0168265306122448,24.0,Safe,Improved,0.5668744925009456,0.46350232862504365,0.5151884105629946,3.5,3.5
4,2,Billy Ray Cyrus,0.0893506493506493,0.0168265306122449,21.0,Safe,Improved,-0.44119985522334615,-0.3537466981116446,-0.3974732766674954,8.0,8.0
4,2,Joey Fatone,0.0930241187384044,0.0168265306122448,24.0,Safe,Improved,0.5668744925009456,0.46350232862504365,0.5151884105629946,3.5,3.5
4,2,Leeza Gibbons,0.0893506493506493,0.0168265306122445,21.0,Safe,Improved,-0.44119985522334615,-0.3537466981116446,-0.3974732766674954,8.0,8.0
